snapshot_time,competition,event,end_date,moneyline_home_yes_prob,moneyline_home_yes_odds,moneyline_home_no_prob,moneyline_home_no_odds,moneyline_home_volume,moneyline_home_volume_24h,moneyline_home_liquidity,moneyline_home_spread,moneyline_away_yes_prob,moneyline_away_yes_odds,moneyline_away_no_prob,moneyline_away_no_odds,moneyline_away_volume,moneyline_away_volume_24h,moneyline_away_liquidity,moneyline_away_spread,draw_yes_prob,draw_yes_odds,draw_no_prob,draw_no_odds,draw_volume,draw_volume_24h,draw_liquidity,draw_spread,over25_prob,over25_odds,under25_prob,under25_odds,ou25_volume,ou25_volume_24h,ou25_liquidity,ou25_spread,btts_yes_prob,btts_yes_odds,btts_no_prob,btts_no_odds,btts_volume,btts_volume_24h,btts_liquidity,btts_spread,url
2026-06-09T06:22:18.362476+00:00,fifa world cup,Spain vs. Cabo Verde,2026-06-15T16:00:00Z,0.905,1.1,0.095,10.53,42946.33963499999,6716.917219000002,58463.5255,0.01,0.033,30.3,0.967,1.03,72487.01520500003,7864.123284,79094.63739,0.004,0.0715,13.99,0.9285,1.08,17160.831578999998,1076.027295,52022.21155,0.001,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-esp-cvi-2026-06-15
2026-06-09T06:22:18.362476+00:00,fifa world cup,Belgium vs. Egypt,2026-06-15T19:00:00Z,0.585,1.71,0.415,2.41,9779.443649999968,1845.024447999998,48339.2563,0.01,0.175,5.71,0.825,1.21,9795.905272000009,5342.378725999999,68232.0325,0.01,0.245,4.08,0.755,1.32,2257.050895,1212.356831,67747.8905,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-bel-egy-2026-06-15
2026-06-09T06:22:18.362476+00:00,fifa world cup,Saudi Arabia vs. Uruguay,2026-06-15T22:00:00Z,0.115,8.7,0.885,1.13,37608.11016200002,26355.651529000002,82235.8983,0.01,0.675,1.48,0.325,3.08,10360.021552000186,2025.938944999989,64423.9425,0.01,0.215,4.65,0.785,1.27,2930.8713860000053,185.96908000000002,58638.7021,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-ksa-ury-2026-06-15
2026-06-09T06:22:18.362476+00:00,fifa world cup,IR Iran vs. New Zealand,2026-06-16T01:00:00Z,0.515,1.94,0.485,2.06,59290.024349999956,27460.813871999995,70732.7962,0.01,0.215,4.65,0.785,1.27,7423.482061999994,1978.0903319999995,69005.4666,0.01,0.285,3.51,0.715,1.4,16544.218713,270.551718,68434.9973,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-irn-nzl-2026-06-15
2026-06-09T06:22:18.362476+00:00,fifa world cup,France vs. Senegal,2026-06-16T19:00:00Z,0.665,1.5,0.335,2.99,48655.48401800162,15372.827792000007,84566.9948,0.01,0.125,8.0,0.875,1.14,10440.896916000005,1583.693256,76311.1281,0.01,0.205,4.88,0.795,1.26,3081.635255999999,379.276178,56195.318,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-fra-sen-2026-06-16
2026-06-09T06:22:18.362476+00:00,fifa world cup,Iraq vs. Norway,2026-06-16T22:00:00Z,0.065,15.38,0.935,1.07,25768.120527,2156.75816,69241.6497,0.01,0.805,1.24,0.195,5.13,8513.658718999992,203.60165200000003,43742.855,0.01,0.135,7.41,0.865,1.16,3729.0151499999993,166.99999599999998,50443.6197,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-irq-nor-2026-06-16
2026-06-09T06:22:18.362476+00:00,fifa world cup,Argentina vs. Algeria,2026-06-17T01:00:00Z,0.695,1.44,0.305,3.28,22496.488118000023,3909.9639239999997,53696.2878,0.01,0.105,9.52,0.895,1.12,42317.72117499999,904.9676580000001,87650.4462,0.01,0.205,4.88,0.795,1.26,4591.848646999997,209.99808599999997,45881.3382,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-arg-alg-2026-06-16
2026-06-09T06:22:18.362476+00:00,fifa world cup,Austria vs. Jordan,2026-06-17T04:00:00Z,0.735,1.36,0.265,3.77,17888.108841000023,14803.678661,54402.7741,0.01,0.095,10.53,0.905,1.1,31330.36739300002,5948.193509999998,51643.4742,0.01,0.165,6.06,0.835,1.2,1094.8094760000001,182.34293200000002,56699.4072,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-aut-jor-2026-06-17
2026-06-09T06:22:18.362476+00:00,fifa world cup,Portugal vs. DR Congo,2026-06-17T17:00:00Z,0.765,1.31,0.235,4.26,31417.68077500004,2906.8513099999996,54764.8683,0.01,0.075,13.33,0.925,1.08,13116.047482000002,295.73,56365.1442,0.01,0.165,6.06,0.835,1.2,2793.225786,135.284114,55084.032,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-prt-cdr-2026-06-17
2026-06-09T06:22:18.362476+00:00,fifa world cup,England vs. Croatia,2026-06-17T20:00:00Z,0.565,1.77,0.435,2.3,17252.765151000163,834.0161850000003,52865.6601,0.01,0.195,5.13,0.805,1.24,15447.615840999999,1835.2899999999997,44336.2758,0.01,0.255,3.92,0.745,1.34,4801.135685000002,204.15152300000003,52487.0149,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-eng-hrv-2026-06-17
