snapshot_time,competition,event,market,outcome,probability,decimal_odds,volume,volume_24h,liquidity,spread,end_date,market_score,url,moneyline,total_over_under2.5,btts_yes_no
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Argentina - Yes,0.0825,12.12,20605445.231548022,81840.82780200004,1277391.30934,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Argentina - No,0.9175,1.09,20605445.231548022,81840.82780200004,1277391.30934,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Germany - Yes,0.0515,19.42,19387826.5056698,148694.00601699986,1081539.55138,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Germany - No,0.9485,1.05,19387826.5056698,148694.00601699986,1081539.55138,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Colombia - Yes,0.0165,60.61,18701774.08727349,159008.31679599997,5003079.2174,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Colombia - No,0.9835,1.02,18701774.08727349,159008.31679599997,5003079.2174,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Iran - Yes,0.0005,2000.0,29394142.526790105,774645.3910000001,6004053.37131,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Iran - No,0.9995,1.0,29394142.526790105,774645.3910000001,6004053.37131,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Portugal - Yes,0.0895,11.17,23027955.22193382,386083.6936390001,294160.42127,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Portugal - No,0.9105,1.1,23027955.22193382,386083.6936390001,294160.42127,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
